,Driver,Team,ExpectedFinish,MedianFinish,WinProbability,PodiumProbability,Top10Probability
0,NOR,McLaren,2.5,2,0.3674,0.7688,0.9999
1,SAI,Ferrari,2.65,2,0.3146,0.7455,0.9998
2,HAM,Mercedes,3.67,3,0.1497,0.5265,0.9989
3,PIA,McLaren,4.81,5,0.0615,0.3035,0.9947
4,PER,Red Bull,4.93,5,0.0547,0.2812,0.9954
5,VER,Red Bull,5.73,6,0.0266,0.1718,0.9879
6,ALO,Aston Martin,6.15,6,0.0188,0.1353,0.9799
7,LEC,Ferrari,7.27,7,0.0061,0.0556,0.9433
8,STR,Aston Martin,9.17,9,0.0005,0.0081,0.7759
9,RUS,Mercedes,9.84,10,0.0002,0.0035,0.6586
10,GAS,Alpine,11.73,11,0,0.0003,0.2987
11,MAG,Haas,12.85,13,0,0,0.1609
12,HUL,Haas,13.83,14,0,0,0.0849
13,OCO,Alpine,14.79,15,0,0,0.0431
14,SAR,Williams,15.04,15,0,0,0.0352
15,ZHO,Kick Sauber,15.48,16,0,0,0.0251
16,TSU,RB,16.61,17,0,0,0.0085
17,ALB,Williams,16.79,17,0,0,0.006
18,RIC,RB,17.44,18,0,0,0.0028
19,BOT,Kick Sauber,18.72,19,0,0,0.0005
